survey_type,comment
Patient,The nurses were kind and explained everything clearly.
Visitor,Doctors seemed rushed and did not answer all questions.
Patient,Amazing care and support from the entire staff!
Visitor,The waiting time was too long before surgery.
Patient,Everyone was professional and compassionate.
Visitor,The front desk staff could be more responsive.
Patient,I really appreciated the surgeonâ€™s attention to detail.
Visitor,Parking was difficult, but the staff were friendly.
Patient,I received all information about my procedure.
Visitor,It was hard to reach someone on the phone.
